YEAR,CURRENT_ROUND,TEAM1_ID,TEAM1,TEAM1_SCORE,TEAM2_ID,TEAM2,TEAM2_SCORE,POINT_DIFFERENTIAL
2008,2,37,Memphis,68,43,Kansas,75,-7
2008,4,13,UCLA,63,37,Memphis,78,-15
2008,4,43,Kansas,84,31,North Carolina,66,18
2008,8,1,Xavier,57,13,UCLA,76,-19
2008,8,15,Texas,67,37,Memphis,85,-18
2008,8,51,Davidson,57,43,Kansas,59,-2
2008,8,39,Louisville,73,31,North Carolina,83,-10
2008,16,5,West Virginia,75,1,Xavier,79,-4
2008,16,4,Western Kentucky,78,13,UCLA,88,-10
2008,16,15,Texas,82,18,Stanford,62,20
2008,16,35,Michigan St.,74,37,Memphis,92,-18
2008,16,51,Davidson,73,2,Wisconsin,56,17
2008,16,7,Villanova,57,43,Kansas,72,-15
2008,16,16,Tennessee,60,39,Louisville,79,-19
2008,16,6,Washington St.,47,31,North Carolina,68,-21
2008,32,49,Duke,67,5,West Virginia,73,-6
2008,32,1,Xavier,85,24,Purdue,78,7
2008,32,21,San Diego,63,4,Western Kentucky,72,-9
2008,32,14,Texas A&M,49,13,UCLA,51,-2
2008,32,15,Texas,75,36,Miami FL,72,3
2008,32,18,Stanford,82,38,Marquette,81,1
2008,32,26,Pittsburgh,54,35,Michigan St.,65,-11
2008,32,34,Mississippi St.,74,37,Memphis,77,-3
2008,32,47,Georgetown,70,51,Davidson,74,-4
2008,32,2,Wisconsin,72,42,Kansas St.,55,17
2008,32,20,Siena,72,7,Villanova,84,-12
2008,32,11,UNLV,56,43,Kansas,75,-19
2008,32,16,Tennessee,76,58,Butler,71,5
2008,32,39,Louisville,78,29,Oklahoma,48,30
2008,32,6,Washington St.,61,30,Notre Dame,41,20
2008,32,63,Arkansas,77,31,North Carolina,108,-31
2008,64,60,Belmont,70,49,Duke,71,-1
2008,64,64,Arizona,65,5,West Virginia,75,-10
2008,64,46,Georgia,61,1,Xavier,73,-12
2008,64,61,Baylor,79,24,Purdue,90,-11
2008,64,21,San Diego,70,54,Connecticut,69,1
2008,64,4,Western Kentucky,101,50,Drake,99,2
2008,64,14,Texas A&M,67,57,BYU,62,5
2008,64,33,Mississippi Valley St.,29,13,UCLA,70,-41
2008,64,62,Austin Peay,54,15,Texas,74,-20
2008,64,22,Saint Mary's,64,36,Miami FL,78,-14
2008,64,52,Cornell,53,18,Stanford,77,-24
