YEAR,BY YEAR NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2026,2,,Howard,,0,0,86
2026,1,,UMBC,,0,0,83
2026,4,,Texas,,0,0,68
2026,3,,North Carolina St.,,0,0,66
2026,6,,Prairie View A&M,,0,0,67
2026,5,,Lehigh,,0,0,55
2026,8,,Miami OH,,0,0,89
2026,7,,SMU,,0,0,79
2026,10,,Duke,,1,1,71
2026,9,,Siena,,1,1,65
2026,12,,TCU,,1,1,66
2026,11,,Ohio St.,,1,1,64
2026,14,,St. John's,,1,1,79
2026,13,,Northern Iowa,,1,1,53
2026,16,,Kansas,,1,1,68
2026,15,,Cal Baptist,,1,1,60
2026,18,,Louisville,,1,1,83
2026,17,,South Florida,,1,1,79
2026,20,,Michigan St.,,1,1,92
2026,19,,North Dakota St.,,1,1,67
2026,22,,UCLA,,1,1,75
2026,21,,UCF,,1,1,71
2026,24,,Connecticut,,1,1,82
2026,23,,Furman,,1,1,71
2026,26,,Arizona,,1,1,92
2026,25,,LIU Brooklyn,,1,1,58
2026,28,,Utah St.,,1,1,86
2026,27,,Villanova,,1,1,76
2026,30,,High Point,,1,1,83
2026,29,,Wisconsin,,1,1,82
2026,32,,Arkansas,,1,1,97
2026,31,,Hawaii,,1,1,78
2026,34,,Texas,,1,1,79
2026,33,,BYU,,1,1,71
2026,36,,Gonzaga,,1,1,73
2026,35,,Kennesaw St.,,1,1,64
2026,38,,Miami FL,,1,1,80
2026,37,,Missouri,,1,1,66
2026,40,,Purdue,,1,1,104
2026,39,,Queens,,1,1,71
2026,42,,Florida,,1,1,114
2026,41,,Prairie View A&M,,1,1,55
2026,44,,Iowa,,1,1,67
2026,43,,Clemson,,1,1,61
2026,46,,Vanderbilt,,1,1,78
2026,45,,McNeese St.,,1,1,68
2026,48,,Nebraska,,1,1,76
2026,47,,Troy,,1,1,47
2026,50,,VCU,,1,1,82
2026,49,,North Carolina,,1,1,78
2026,52,,Illinois,,1,1,105
2026,51,,Penn,,1,1,70
2026,54,,Texas A&M,,1,1,63
2026,53,,Saint Mary's,,1,1,50
2026,56,,Houston,,1,1,78
2026,55,,Idaho,,1,1,47
2026,58,,Michigan,,1,1,101
2026,57,,Howard,,1,1,80
2026,60,,Saint Louis,,1,1,102
2026,59,,Georgia,,1,1,77
2026,62,,Texas Tech,,1,1,91
2026,61,,Akron,,1,1,71
2026,64,,Alabama,,1,1,90
2026,63,,Hofstra,,1,1,70
2026,66,,Tennessee,,1,1,78
2026,65,,Miami OH,,1,1,56
2026,68,,Virginia,,1,1,82
2026,67,,Wright St.,,1,1,73
2026,70,,Kentucky,,1,1,89
2026,69,,Santa Clara,,1,1,84
2026,72,,Iowa St.,,1,1,108
2026,71,,Tennessee St.,,1,1,74
2026,74,,Duke,,2,2,81
2026,73,,TCU,,2,2,58
2026,76,,St. John's,,2,2,67
2026,75,,Kansas,,2,2,65
2026,78,,Michigan St.,,2,2,77
2026,77,,Louisville,,2,2,69
2026,80,,Connecticut,,2,2,73
2026,79,,UCLA,,2,2,57
2026,82,,Arizona,,2,2,109
2026,81,,High Point,,2,2,88
2026,84,,Arkansas,,2,2,88
2026,83,,Utah St.,,2,2,79
2026,86,,Texas,,2,2,77
2026,85,,Gonzaga,,2,2,68
2026,88,,Purdue,,2,2,79
2026,87,,Miami FL,,2,2,69
2026,90,,Iowa,,2,2,77
2026,89,,Florida,,2,2,72
2026,92,,Nebraska,,2,2,74
2026,91,,Vanderbilt,,2,2,72
2026,94,,Illinois,,2,2,76
2026,93,,VCU,,2,2,55
2026,96,,Houston,,2,2,88
2026,95,,Texas A&M,,2,2,57
2026,98,,Michigan,,2,2,95
2026,97,,Saint Louis,,2,2,72
2026,100,,Alabama,,2,2,90
2026,99,,Texas Tech,,2,2,65
2026,102,,Tennessee,,2,2,76
2026,101,,Virginia,,2,2,62
2026,104,,Iowa St.,,2,2,82
2026,103,,Kentucky,,2,2,63
2026,106,,Duke,,4,4,80
2026,105,,St. John's,,4,4,75
2026,108,,Connecticut,,4,4,73
2026,107,,Michigan St.,,4,4,63
2026,110,,Arizona,,4,4,78
2026,109,,Texas,,4,4,77
2026,112,,Purdue,,4,4,79
2026,111,,Arkansas,,4,4,64
2026,114,,Nebraska,,4,4,71
2026,113,,Iowa,,4,4,59
2026,116,,Illinois,,4,4,71
2026,115,,Houston,,4,4,62
2026,118,,Michigan,,4,4,95
2026,117,,Alabama,,4,4,77
2026,120,,Tennessee,,4,4,79
2026,119,,Iowa St.,,4,4,62
2026,122,,Connecticut,,8,8,73
2026,121,,Duke,,8,8,72
2026,124,,Arizona,,8,8,79
2026,123,,Purdue,,8,8,66
2026,126,,Illinois,,8,8,71
2026,125,,Iowa,,8,8,65
2026,128,,Michigan,,8,8,91
2026,127,,Tennessee,,8,8,62
2026,130,,Connecticut,,16,16,71
2026,129,,Illinois,,16,16,62
2026,132,,Arizona,,16,16,73
2026,131,,Michigan,,16,16,69
2026,134,,Michigan,,32,32,69
2026,133,,Connecticut,,32,32,63
